stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1508057,,Circunvalación / 16 1/2 Ote,,-35.41727018,-71.63721621,,,0,,,0
1508061,,Circunvalación / 15 1/2 Ote,,-35.41614226,-71.63836957,,,0,,,0
2644929,,Colin /O´Higgnis,,-35.44951412,-71.69028371,,,0,,,0
2644930,,Colin / Colin,,-35.45214893,-71.69008576,,,0,,,0
2644931,,Colin / Río Claro,,-35.45205966,-71.69039984,,,0,,,0
2644932,,Colin / O´Higgnis,,-35.44919298,-71.6905246,,,0,,,0
2644933,,Colin / Veintiocho Sur,,-35.44753496,-71.68959078,,,0,,,0
2644934,,Terminal Taxual s.a,,-35.45924115,-71.69419169,,,0,,,0
2644935,,Dos Sur / Tres Poniente,,-35.42797338,-71.66908454,,,0,,,0
2644936,,Dos Sur,,-35.42819941,-71.66758536,,,0,,,0
2644937,,Dos Sur / 1 Oriente,,-35.42835602,-71.66565564,,,0,,,0
2644938,,Dos Sur / Dos Ote,,-35.42830782,-71.66480602,,,0,,,0
2644939,,Dos Sur / Dos Ote,,-35.42845103,-71.6644973,,,0,,,0
2644941,,1 Oriente / 1 Sur,,-35.4267706,-71.66540567,,,0,,,0
2644943,,Dos Sur / Tres Oriente,,-35.4284927,-71.66235222,,,0,,,0
2644944,,Dos Sur / Cuatro Oriente,,-35.42865891,-71.66173998,,,0,,,0
2645009,,Dos Sur / 5 Oriente,,-35.4287231,-71.65957882,,,0,,,0
2645028,,Dos Sur / 6 Oriente,,-35.42893507,-71.65877887,,,0,,,0
2645029,,Dos Sur / Ocho Oriente,,-35.42931845,-71.65631824,,,0,,,0
2645030,,Dos Sur / Siete Oriente,,-35.42876427,-71.6567033,,,0,,,0
2645107,,Avenida Isidoro del Solar / Cuatro norte,,-35.42157754,-71.67025246,,,0,,,0
2645108,,Dos Sur / Nueve Oriente,,-35.42917214,-71.65405117,,,0,,,0
2645109,,Dos Sur / 10 Oriente,,-35.42943881,-71.65251745,,,0,,,0
2645110,,Once Oriente / Estación de Tren Talca,,-35.42953833,-71.65031309,,,0,,,0
2645111,,Estación Talca,,-35.42960194,-71.64938271,,,0,,,0
2645112,,Once Oriente / Uno Sur,,-35.42887168,-71.65029335,,,0,,,0
2645113,,Once Oriente / Dos Sur,,-35.42910294,-71.65044574,,,0,,,0
2645114,,Once Oriente / Uno Sur,,-35.42774073,-71.65031186,,,0,,,0
2645117,,Dos Norte / Doce Ote,,-35.42631181,-71.64820831,,,0,,,0
2645118,,Uno Sur / Catorce Ote,,-35.42880414,-71.64474704,,,0,,,0
2645119,,Catorce Oriente / Uno Sur,,-35.42852334,-71.64509863,,,0,,,0
2645120,,Avenida San Miguel / INACAP,,-35.43142795,-71.63853987,,,0,,,0
2645176,,Diez Oriente / Seis Norte,,-35.41998019,-71.65089598,,,0,,,0
2711738,,Cuatro Norte / 5 Ote,,-35.42277078,-71.65848197,,,0,,,0
2711739,,Cuatro Norte / 7 Oriente,,-35.42225626,-71.65624443,,,0,,,0
2711740,,Cuatro Norte / Tres Oriente,,-35.4218192,-71.66234346,,,0,,,0
2711741,,Cuatro Norte / Dos Poniente,,-35.42141801,-71.66794927,,,0,,,0
2711742,,Cuatro Norte / Diecinueve 1/2 Sur C,,-35.4212538,-71.67001297,,,0,,,0
2711744,,Cuatro Norte / Cárcel de Talca,,-35.42213333,-71.66791052,,,0,,,0
2711745,,Calle 1 Poniente / Cuatro Norte,,-35.42250224,-71.66630119,,,0,,,0
2711746,,Cuatro Norte / Uno Ote,,-35.42229704,-71.66524514,,,0,,,0
2711747,,Cuatro Norte / Cuatro Ote,,-35.42258557,-71.66119849,,,0,,,0
2727697,,Diez Oriente / Siete Norte,,-35.41916123,-71.65057832,,,0,,,0
2727702,,Diez Nte / Los Robles,,-35.41490082,-71.65055228,,,0,,,0
2727703,,Dieciocho Oriente / Cuatro 1/2 Sur,,-35.43336988,-71.64151516,,,0,,,0
2727773,,6 Oriente / Seis Sur,,-35.43390717,-71.65897268,,,0,,,0
2727774,,Seis Sur / Dos Ote,,-35.432936,-71.66488555,,,0,,,0
2727942,,San Miguel / Treinte Ote,,-35.43469173,-71.62904444,,,0,,,0
2727944,,San Miguel / Treinta y cuatro Ote,,-35.43668655,-71.62272147,,,0,,,0
2727945,,San Miguel / Treinta y cuatro Ote,,-35.4364481,-71.62258857,,,0,,,0
2727955,,San Miguel / Camino a San Miguel,,-35.4386117,-71.61573888,,,0,,,0
2727960,,Once Oriente / Tres sur,,-35.43028341,-71.65060378,,,0,,,0
2727963,,Once Oriente / Ocho Sur,,-35.43660869,-71.65128613,,,0,,,0
2727991,,Once Oriente / Ocho 1/2 Sur,,-35.43704676,-71.65122121,,,0,,,0
2727993,,Once Oriente / Nueve Sur,,-35.43765355,-71.65126354,,,0,,,0
2728052,,6 Oriente / Doce Sur,,-35.43924619,-71.66105427,,,0,,,0
2728055,,6 Oriente / Ocho 1/2 Sur,,-35.43654093,-71.65935601,,,0,,,0
2728062,,Carlos Schorr / Balmaceda,,-35.42937176,-71.67443616,,,0,,,0
2746861,,Avenida Lircay / Diecinueve Norte,,-35.40624887,-71.64464187,,,0,,,0
2746862,,Av. Lircay / Veintiuno y Medio Norte,,-35.40402042,-71.63985774,,,0,,,0
2746863,,Av. Lircay / Universidad de Talca,,-35.40413489,-71.63955477,,,0,,,0
2746864,,Ruta 118 / Estadio Universidad de Talca,,-35.40171501,-71.63503573,,,0,,,0
2746865,,Ruta 118 / Estadio Universidad de Talca,,-35.40185925,-71.63490989,,,0,,,0
2746866,,Panamericana Sur / Acceso a Talca,,-35.39930696,-71.62048758,,,0,,,0
2746867,,Terminal de Buses Linea 5,,-35.39861158,-71.61988914,,,0,,,0
2746963,,Veinte Poniente / Psje Veinte Pte,,-35.44238969,-71.6977252,,,0,,,0
2746964,,Treinta Sur / Psje Veintiuno Pte,,-35.44506315,-71.70126468,,,0,,,0
2746965,,Calle 21 Poniente / 25 Sur,,-35.44096696,-71.69719294,,,0,,,0
2746968,,Cinco Poniente / Veinticuatro 1/2 Sur,,-35.44550368,-71.68022935,,,0,,,0
2747000,,Calle 25 Sur / 1 Pte,,-35.44951849,-71.67300225,,,0,,,0
2747005,,Pasaje Veinticinco Sur B / 1 Ote,,-35.44585415,-71.66897893,,,0,,,0
2747009,,Nueve Oriente / Dieciséis Sur,,-35.44711293,-71.6593444,,,0,,,0
2747010,,Dieciséis Sur / Diez Ote,,-35.44817827,-71.6565259,,,0,,,0
2747013,,Diez Ote / Cabo Orlando Espinoza,,-35.44362751,-71.65336848,,,0,,,0
2747014,,Diez Oriente / Psje 13,,-35.44215261,-71.65287805,,,0,,,0
2747015,,Catorce Oriente / Vicente Huidobro,,-35.44281026,-71.64770096,,,0,,,0
2747018,,Catorce Oriente / Trece Medio Sur,,-35.446287,-71.64869428,,,0,,,0
2747019,,Catorce Sur / Catorce Ote,,-35.44760004,-71.64950072,,,0,,,0
2747024,,Catorce Oriente / Diez Sur,,-35.43797579,-71.64619256,,,0,,,0
2747025,,Dieciocho Ote / Calle 1 Sur,,-35.42911338,-71.64039999,,,0,,,0
2747027,,Catorce Oriente / Calle 1 Nte,,-35.42690263,-71.64495302,,,0,,,0
2747029,,Calle 1 Norte / Catorce Ote,,-35.42776569,-71.64556369,,,0,,,0
2747030,,Catorce Oriente / Uno Sur,,-35.4292716,-71.645207,,,0,,,0
2747032,,Catorce Oriente / Dos Sur,,-35.43014868,-71.6452947,,,0,,,0
2747038,,Catorce Oriente / Tres Sur,,-35.43120557,-71.64540077,,,0,,,0
2747043,,Once Oriente / Dos Nte,,-35.42648241,-71.64998712,,,0,,,0
2747044,,Dos Nte / Once Ote,,-35.42598148,-71.64969237,,,0,,,0
2747046,,Once Oriente / Tres Nte,,-35.42477211,-71.6499469,,,0,,,0
2747047,,Once Oriente / PF,,-35.42512056,-71.64983527,,,0,,,0
2747056,,"Cuatro Norte, 1513-1579",,-35.42253141,-71.65232897,,,0,,,0
2747072,,Calle 1 Poniente / Dos Nte,,-35.42471261,-71.66651126,,,0,,,0
2747073,,Avenida Isidoro del Solar / Dos Nte,,-35.42466838,-71.66774093,,,0,,,0
2747075,,Avenida Isidoro del Solar / Calle 1 Nte,,-35.4257598,-71.66693189,,,0,,,0
2747079,,Cuatro Norte / Ocho Ote,,-35.42298048,-71.65560323,,,0,,,0
2747080,,Cuatro Norte / 1 Ote,,-35.42164939,-71.6646435,,,0,,,0
2747081,,Cuatro Norte / Isidora del Solar,,-35.42190261,-71.67068113,,,0,,,0
2747085,,Once Oriente / Cinco Nte,,-35.42162013,-71.64954174,,,0,,,0
2747086,,Once Oriente / Siete Nte,,-35.41930741,-71.64923237,,,0,,,0
2747087,,Diez Norte / Lircay,,-35.41391207,-71.65301514,,,0,,,0
2747088,,Trece 1/2 Oriente / Trece 1/2 Ote,,-35.41549223,-71.64438152,,,0,,,0
2747096,,Trece 1/2 Oriente / Once 1/2 Nte,,-35.41431171,-71.64272528,,,0,,,0
2747099,,Doce Norte / 17 Norte,,-35.41162603,-71.6442305,,,0,,,0
2747116,,Avenida Isidoro del Solar / Dos Norte,,-35.42428167,-71.66833693,,,0,,,0
2840634,,Ocho Sur / 32 Ote,,-35.44277722,-71.62875,,,0,,,0
2957053,,Dieciocho Oriente / Cinco Sur,,-35.43438821,-71.64216098,,,0,,,0
2957680,,Ocho Sur / Dieciocho Ote,,-35.4369185,-71.64443759,,,0,,,0
2957681,,Cuatro Sur / Quince Ote,,-35.43285422,-71.64420022,,,0,,,0
2957682,,Cuatro Sur / Catorce Ote,,-35.43278076,-71.64542161,,,0,,,0
2957685,,Terminal,,-35.44802854,-71.65136859,,,0,,,0
2957741,,Dos Norte /Cuatro Pte,,-35.42425031,-71.6704261,,,0,,,0
2957759,,Ocho Oriente / Siete Nte,,-35.41999677,-71.65505766,,,0,,,0
2957769,,Lircay / Pasaje desolación,,-35.41514616,-71.65508696,,,0,,,0
2957791,,Diez Norte / Los Robles,,-35.41498571,-71.65058153,,,0,,,0
2957823,,Lircay / Doce Norte,,-35.41302761,-71.65272678,,,0,,,0
2957824,,Doce Norte / Siete Ote,,-35.41229085,-71.65565254,,,0,,,0
2957825,,Doce Norte / 6 Ote,,-35.41188048,-71.65642072,,,0,,,0
2957826,,V Cinco 1/2 Ote,,-35.41197029,-71.65684987,,,0,,,0
2957827,,Cinco Ote / Ocho Norte,,-35.41689622,-71.65900486,,,0,,,0
2957828,,Cinco Oriente / Cuatro Nte,,-35.42190056,-71.6594087,,,0,,,0
2957829,,Calle 1 Norte / Doce Ote,,-35.4275561,-71.64803441,,,0,,,0
2958320,,Doce Oriente / Dos Sur,,-35.42999555,-71.64819121,,,0,,,0
2958321,,Doce Ote / Tres Sur,,-35.43059838,-71.64824111,,,0,,,0
2958329,,Ocho Sur / Diecinueve Ote,,-35.43744284,-71.64175151,,,0,,,0
2958331,,Ocho Sur / Diecinueve Ote,,-35.43762255,-71.64182826,,,0,,,0
2958333,,Ocho Sur / Dieciocho Ote,,-35.43688601,-71.64369106,,,0,,,0
2958334,,Catorce Oriente / Diez Sur,,-35.43842448,-71.64640814,,,0,,,0
2958335,,Catorce Oriente / Doce Sur,,-35.441757,-71.64746493,,,0,,,0
2958337,,Catorce Oriente / Trece Sur,,-35.44434642,-71.64827496,,,0,,,0
2958339,,Terminal / 22 Norte / 13 1/2 Ote,,-35.40978321,-71.63520455,,,0,,,0
2958343,,Diez 1/2 Norte / Doce Ote,,-35.41553239,-71.64676219,,,0,,,0
2958346,,Seis Pte / Tres Nte,,-35.42295762,-71.67324901,,,0,,,0
2958348,,Lircay / Pasaje desolación,,-35.41523073,-71.65492684,,,0,,,0
2958365,,13 1/2 oriente / 20 Norte,,-35.41131782,-71.63738519,,,0,,,0
2958397,,Terminal San Miguel / Ocho Sur,,-35.4458782,-71.62223876,,,0,,,0
2958399,,Treinta y dos Ote / Diez Sur,,-35.44545566,-71.63088024,,,0,,,0
2958400,,32 Oriente / Diez 1/2 Sur,,-35.44602867,-71.63125121,,,0,,,0
2958401,,Treinta y dos Ote / Diez Sur,,-35.44490363,-71.63053482,,,0,,,0
2958405,,31 Oriente / 9 1/2 sur,,-35.44370912,-71.63227294,,,0,,,0
2958407,,Ocho Sur / Treinta Oriente,,-35.44055731,-71.63320095,,,0,,,0
2958408,,Ocho Sur / Treinta Oriente,,-35.4407496,-71.63328946,,,0,,,0
2958412,,Ocho Sur/  Veintiuno y Medio Ote,,-35.43838955,-71.63830087,,,0,,,0
2958416,,Dos Norte / 18 Ote,,-35.42749598,-71.64029651,,,0,,,0
2958420,,2 Norte / Catorce 1/2 Ote,,-35.4258543,-71.64430103,,,0,,,0
2958524,,Lircay / Doce Nte,,-35.41337333,-71.65282296,,,0,,,0
2958525,,Lircay / Trece Norte,,-35.41063582,-71.6499902,,,0,,,0
2958526,,Lircay / Bencinera HN,,-35.40840813,-71.64756343,,,0,,,0
2958527,,Avenida Lircay / Teletón,,-35.40559857,-71.64290826,,,0,,,0
2958528,,Avenida Lircay / teletón,,-35.40524314,-71.6425124,,,0,,,0
2958531,,Lircay / Trece Norte,,-35.41096805,-71.65017396,,,0,,,0
2958532,,Lircay / Bencinera HN,,-35.40870328,-71.64766341,,,0,,,0
2958569,,1 Oriente / Dos Nte,,-35.42452162,-71.66516501,,,0,,,0
2958572,,Calle 1 Norte / 18 ote,,-35.42819576,-71.64055872,,,0,,,0
2958583,,31 Oriente / 10 Sur,,-35.44565749,-71.63363814,,,0,,,0
2958606,,Terminal Villa Francia,,-35.45569087,-71.6590628,,,0,,,0
2958607,,10 Oriente / 24 Sur,,-35.45552785,-71.65860733,,,0,,,0
2958608,,24 Sur / 9 1/2 Oriente C,,-35.45379167,-71.65963885,,,0,,,0
2958609,,24 Sur / Av. 9 Ote,,-35.45332693,-71.66079448,,,0,,,0
2958610,,Dieciséis Sur / 9 Ote,,-35.44698636,-71.65898387,,,0,,,0
2958611,,Nueve Oriente / Quince Sur,,-35.44563678,-71.65841764,,,0,,,0
2958634,,Catorce Sur / Pasaje Paula Jaraquemada,,-35.44232109,-71.65701923,,,0,,,0
2958662,,El Arrollo / Cinco 1/2 Oriente,,-35.44157982,-71.66152592,,,0,,,0
2958663,,Cinco Oriente / Trece Sur,,-35.44060195,-71.66274923,,,0,,,0
2958668,,Once 1/2 Sur / Psje Sto Domingo,,-35.43981763,-71.65596137,,,0,,,0
2958670,,Nueve Oriente / Once Sur,,-35.43916307,-71.6546701,,,0,,,0
2958671,,Nueve Oriente / Nueve 1/2 Sur,,-35.43792655,-71.65454521,,,0,,,0
2958672,,Nueve Oriente / Nueve Sur,,-35.43732672,-71.65447587,,,0,,,0
2958673,,Once Oriente / Siete Sur,,-35.43509658,-71.65097161,,,0,,,0
2958674,,Once Oriente / Cinco Sur,,-35.43328154,-71.65077567,,,0,,,0
2958675,,6 Oriente / Ocho nte,,-35.41731904,-71.65758298,,,0,,,0
2958676,,Cuatro Oriente / 12 Nte,,-35.41143935,-71.65961322,,,0,,,0
2958677,,Cuatro Oriente / 12 Nte,,-35.41079697,-71.65966633,,,0,,,0
2958678,,4 Oriente / Pje 12 1/2 Nte,,-35.40872173,-71.65928507,,,0,,,0
2958681,,Cinco Oriente / 19 Nte,,-35.40295121,-71.65300512,,,0,,,0
2958682,,Diecinueve Norte C / Cinco Ote,,-35.40212963,-71.65229989,,,0,,,0
2958684,,Cinco Oriente / 18 nte,,-35.40090589,-71.65240585,,,0,,,0
2958685,,Cinco Oriente / Circunvaliación nte,,-35.40021653,-71.65225658,,,0,,,0
2958686,,5 Ote / 18 Nte,,-35.39845138,-71.65191599,,,0,,,0
2958687,,Terminal / Av Lircay,,-35.39050626,-71.64221048,,,0,,,0
2959086,,Cinco Ote / Domingo Sta. María,,-35.40775012,-71.65535868,,,0,,,0
2959095,,Carretera acceso Norte / 2 1/2 Oriente D,,-35.39710077,-71.64988428,,,0,,,0
2959098,,Pasaje 25 1/2 Norte /6 1/2 Oriente D,,-35.39266841,-71.64362323,,,0,,,0
2959125,,6 1/2 Oriente D / Psje 28 Norte,,-35.39122507,-71.64282892,,,0,,,0
2959170,,21 Norte / Cruce Av. Lircay - Av Circunvalación,,-35.39477067,-71.65077308,,,0,,,0
2959171,,Cruce Av. Lircay - Av Circunvalación / Caletera Acceso norte,,-35.39637303,-71.65142405,,,0,,,0
2959173,,Cinco Oriente / Aníbal Pinto,,-35.40775888,-71.65552765,,,0,,,0
2959181,,Tres Oriente / Doce Nte,,-35.41102461,-71.66107146,,,0,,,0
2959183,,Tres Oriente / Diez Nte,,-35.41417387,-71.66141494,,,0,,,0
2959185,,Tres Oriente / 4 Norte,,-35.42171795,-71.66212453,,,0,,,0
2959190,,Nueve Oriente / Nueve Sur,,-35.4369625,-71.65453523,,,0,,,0
2959194,,6 Oriente / Doce Sur,,-35.43922429,-71.66117102,,,0,,,0
2959207,,Nueve Oriente / Quince Sur,,-35.44559413,-71.65854245,,,0,,,0
2970680,,Nueve Oriente / Dieciocho Sur,,-35.44886954,-71.66060507,,,0,,,0
2972807,,29 Sur / Av 9 ote,,-35.4593482,-71.66483492,,,0,,,0
2972808,,10 1/2 Ote / 29 Sur,,-35.46106757,-71.65975214,,,0,,,0
2972828,,28 Sur / Av. 9 1/2 Ote,,-35.45896369,-71.66175038,,,0,,,0
2972829,,28 Sur / Av.9 Ote,,-35.45822961,-71.66359037,,,0,,,0
2972843,,Avenida 9 Oriente / 23 Sur,,-35.45182581,-71.66015982,,,0,,,0
2972848,,Dieciséis Sur / Diez Ote,,-35.44834976,-71.65591413,,,0,,,0
2972870,,Catorce Sur / Mayor Mario Muñoz,,-35.44622515,-71.65272368,,,0,,,0
2972885,,Carlos Schorr / Balmaceda,,-35.42923695,-71.67367011,,,0,,,0
2972886,,Colin / Los Maitenes,,-35.43311928,-71.67881362,,,0,,,0
2972887,,Colin / Caracas,,-35.43154268,-71.6777122,,,0,,,0
2972889,,Circunvalación Poniente / Los Maitenes,,-35.43448468,-71.67936717,,,0,,,0
2972890,,Colin / 14 Sur,,-35.43491329,-71.68011972,,,0,,,0
2972898,,Colin / Los Boldos,,-35.43539423,-71.68016384,,,0,,,0
2972919,,Colin / 20 Sur,,-35.43969927,-71.6833406,,,0,,,0
2972920,,Colin / 19 Sur,,-35.43768366,-71.6816175,,,0,,,0
2972933,,Veinticuatro 1/2 Sur B / Cinco 1/2 Pte,,-35.44462628,-71.68130113,,,0,,,0
2976538,,Avenida Duao / Av 5 Pte,,-35.45426481,-71.6825862,,,0,,,0
2976550,,Provincia de  Cauquenes  /Provincia de Talca,,-35.45647146,-71.67828414,,,0,,,0
2976551,,San Javier / Provincia de Cauquenes,,-35.45934072,-71.67941715,,,0,,,0
2976560,,San Javier / Provincia de Linares,,-35.45868301,-71.68111882,,,0,,,0
2976563,,San Javier / Av. 5 Pte,,-35.45783919,-71.68322575,,,0,,,0
2976565,,San Javier  / Provincia de Curico,,-35.45723174,-71.68478288,,,0,,,0
2976566,,Unihue / Provincia de Talca,,-35.45527747,-71.684385,,,0,,,0
2976572,,Colin / 20 Sur,,-35.44092084,-71.68383832,,,0,,,0
2976576,,Circunvalación Poniente / Los Caquis,,-35.43778199,-71.68144851,,,0,,,0
2976581,,Circunvalación Poniente / Aida,,-35.43165151,-71.67744065,,,0,,,0
2976582,,Carlos Schorr / Colbún,,-35.42863592,-71.67113007,,,0,,,0
2976602,,Terminal / Arturo Prat,,-35.44992927,-71.68099523,,,0,,,0
2976678,,Cuatro Poniente / Tres Pte,,-35.44548719,-71.6766959,,,0,,,0
2976784,,Ignacio Carrera Pinto / Uno 1/2 Pte,,-35.44417071,-71.67102312,,,0,,,0
2976785,,Ignacio Carrera Pinto / Adolfo Becker,,-35.44480407,-71.67016301,,,0,,,0
2976791,,1 Oriente / Diez Sur,,-35.43889934,-71.66649047,,,0,,,0
2976792,,1 Oriente / 16 Sur,,-35.44342211,-71.66699409,,,0,,,0
2976793,,1 Oriente / 12 Sur,,-35.44083701,-71.66667491,,,0,,,0
2976794,,1 Oriente / 9 Sur,,-35.43800786,-71.6664183,,,0,,,0
2976807,,Calle 1 Poniente / Dos Sur,,-35.42852883,-71.6668144,,,0,,,0
2976833,,Manuel Rodríguez / Doce Nte,,-35.41002778,-71.66286049,,,0,,,0
2976834,,Manuel Rodríguez / Pje Igualdad,,-35.40861554,-71.66223547,,,0,,,0
2976848,,Pasaje Libertad / Catorce Norte,,-35.40582708,-71.65926895,,,0,,,0
2976849,,Terminal  / Catorce Norte,,-35.40521199,-71.66010618,,,0,,,0
2976904,,Pasaje Gabriela Mistral / Pasaje Concordia,,-35.40713184,-71.66124987,,,0,,,0
2976908,,1 Oriente / 4 Sur,,-35.43031223,-71.66572273,,,0,,,0
2976909,,1 Oriente / 6 Sur,,-35.43250866,-71.66594266,,,0,,,0
2977779,,Cinco Poniente / 22 sur O,,-35.44324729,-71.678828,,,0,,,0
2977782,,Veintiséis Sur / 4 Pte,,-35.44864448,-71.67857051,,,0,,,0
2977790,,Terminal / Calle 21 Pte,,-35.44269881,-71.69921279,,,0,,,0
2977791,,Veintisiete Sur / 17 Pte,,-35.44305139,-71.6948533,,,0,,,0
2977792,,Veintisiete Sur / 14 Pte,,-35.44436675,-71.6920797,,,0,,,0
2977793,,Colin / 27 Sur,,-35.44527744,-71.68735145,,,0,,,0
2977794,,Colin / 25 Sur,,-35.44322402,-71.68579153,,,0,,,0
2977796,,Cancha Rayada / 6 Nte,,-35.41994158,-71.65184068,,,0,,,0
2977805,,Acceso Norte Talca / Cruce Ruta 5,,-35.39946922,-71.62813209,,,0,,,0
2977806,,Ruta 118 / Ruta 5,,-35.39874276,-71.62624329,,,0,,,0
2977808,,Cancha Rayada / Siete Ote,,-35.41856203,-71.65295004,,,0,,,0
2977810,,Colin / Camino La Florida,,-35.44027418,-71.68376533,,,0,,,0
2977811,,Colin / 23 Sur,,-35.44186795,-71.68507049,,,0,,,0
2977816,,Colin / 26 Sur,,-35.44338933,-71.68629795,,,0,,,0
2977818,,Colin / 27 Sur,,-35.44527729,-71.68771148,,,0,,,0
2977831,,Acceso Norte Talca / Cruce Ruta 5,,-35.39961949,-71.62679851,,,0,,,0
2977834,,Autopista Talca - Chillán /Kim 248,,-35.39270983,-71.61322706,,,0,,,0
2977835,,Panamericana Sur km 246,,-35.38403482,-71.60513092,,,0,,,0
2977837,,Panamericana Sur km 245,,-35.37630459,-71.59862092,,,0,,,0
2977838,,Panamericana Sur km 245,,-35.37656547,-71.5981096,,,0,,,0
2977839,,Caletera Ruta 5 / Cruce ruta 5 (Panguilemo),,-35.3720886,-71.59290612,,,0,,,0
2977840,,Cruce Panguilemo,,-35.36515739,-71.59437329,,,0,,,0
2977841,,Terminal / Panguilemo,,-35.3622373,-71.58852338,,,0,,,0
2978043,,Panamericana Sur / Salida Talca Chillán,,-35.36902004,-71.59076303,,,0,,,0
2978749,,Panamericana Sur km 246,,-35.38376468,-71.60550714,,,0,,,0
2978751,,Panamericana / Santa Corina A,,-35.39208016,-71.61325765,,,0,,,0
2978753,,Camino a San Miguel / Diez Sur A,,-35.44799553,-71.62414581,,,0,,,0
2978760,,Dieciseis Sur / Tres 1/2 Pte,,-35.44433279,-71.66500695,,,0,,,0
2978761,,Dieciséis Sur / 6 Ote,,-35.44513752,-71.66344169,,,0,,,0
3274329,,6 Oriente / Dieciocho sur,,-35.44770542,-71.66432956,,,0,,,0
3274412,,Tres Pte / Calle 25 Sur,,-35.44794368,-71.67553009,,,0,,,0
3333622,,Ocho Sur / Las Rosas,,-35.43926666,-71.63618204,,,0,,,0
3333702,,Veintiocho 1/2 Sur/ Calle 24 Pte,,-35.44276874,-71.70247703,,,0,,,0
3333716,,Treinta Sur / Calle 24 Pte,,-35.44429836,-71.70267016,,,0,,,0
3333835,,19 1/2 Poniente / Psje 29 1/2 Sur A,,-35.44578181,-71.69877317,,,0,,,0
3333836,,29 Sur / Pje 18 1/2 Pte,,-35.44513194,-71.69744874,,,0,,,0
3333838,,Veintinueve Sur / 14 pte,,-35.44668748,-71.69333813,,,0,,,0
3333841,,Catorce Oriente / Psje Cinco 1/2 Nte B,,-35.42269004,-71.64555496,,,0,,,0
3333843,,Catorce Oriente / Psje Seis Nte,,-35.42122887,-71.64496131,,,0,,,0
3333844,,Catorce Oriente / Doce Nte,,-35.41696898,-71.64214153,,,0,,,0
3333847,,Catorce Oriente / Catorce Nte,,-35.41609513,-71.64112381,,,0,,,0
3333883,,Av. 21 Nte / Av. 22 Ote,,-35.41055489,-71.62628621,,,0,,,0
3333884,,Av. 21 Nte / 25 Ote,,-35.41205888,-71.6220215,,,0,,,0
3333885,,26 Ote / Terminal,,-35.41170912,-71.62028342,,,0,,,0
3333887,,22 Nte / 23 Ote,,-35.40959302,-71.62323117,,,0,,,0
3333890,,Av. 21 Nte / Av. 22 Ote,,-35.41036908,-71.62589997,,,0,,,0
3333891,,Circunvalación / 17 Ote,,-35.41755871,-71.63668513,,,0,,,0
3333908,,Veintinueve Sur / 18 Pte,,-35.44541932,-71.69645548,,,0,,,0
3333923,,Veintiocho 1/2 Sur / Veintiuno 1/2 Pte A,,-35.44352044,-71.70035004,,,0,,,0
3333938,,Terminal Taxual A / Cruce Ruta 5,,-35.42255108,-71.59951776,,,0,,,0
3333939,,Cruce Ruta 5 / K-55,,-35.42335598,-71.59968773,,,0,,,0
3333942,,Cruce Ruta 115 / Cruce K-15,,-35.42408457,-71.60264312,,,0,,,0
3333948,,Cruce K 15 / Pta de Diamante,,-35.42489063,-71.6035956,,,0,,,0
3333960,,K-55 / 5 Nte,,-35.43281797,-71.60833361,,,0,,,0
3333963,,Camino Las Rastras / Cinco Nte,,-35.433515,-71.60867539,,,0,,,0
3339094,,Camino Las Rastras / Cuarenta Ote,,-35.43766025,-71.6118352,,,0,,,0
3339112,,Uno Sur / Av. San Miguel,,-35.438865,-71.61275816,,,0,,,0
3339113,,Uno Sur / Av. San Miguel,,-35.43909054,-71.61313433,,,0,,,0
3339127,,San Miguel / Treinte Ote,,-35.43472524,-71.62802604,,,0,,,0
3339205,,I - Avenida San Miguel / 21 Ote,,-35.43224859,-71.63650805,,,0,,,0
3339250,,Barcelona / El Arenal,,-35.43417951,-71.66797887,,,0,,,0
3339283,,Circunvalación Sur / J María Auxiliadora,,-35.43838546,-71.67037806,,,0,,,0
3339286,,Catorce Sur / Cuatro Pte,,-35.43916889,-71.67388164,,,0,,,0
3339376,,Catorce Sur / Los Almendros,,-35.4360884,-71.67882962,,,0,,,0
3339380,,Cruce Ruta 5 / K -610,,-35.45409634,-71.69092839,,,0,,,0
3339381,,Cruce Ruta 5 / Colegio Santo Tomás,,-35.45498001,-71.69198245,,,0,,,0
